Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
72M_1	72M_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	92276951.0	13.9 Gbp	0.0	151.0	18.0	81.22843979592723	151.0	pass	pass	fail	pass	warn	warn	pass	pass	pass	pass	pass
72M_2	72M_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	92276951.0	13.9 Gbp	0.0	151.0	20.0	91.63084129617272	151.0	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	pass
78M_1	78M_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98070870.0	14.8 Gbp	0.0	151.0	18.0	81.15833311292165	151.0	pass	pass	fail	pass	warn	warn	pass	pass	pass	pass	pass
78M_2	78M_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	98070870.0	14.8 Gbp	0.0	151.0	20.0	91.59758652874592	151.0	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	pass
79M_1	79M_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	89087341.0	13.4 Gbp	0.0	151.0	17.0	84.34522830493869	151.0	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	warn
79M_2	79M_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	89087341.0	13.4 Gbp	0.0	151.0	20.0	92.86603395210699	151.0	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	warn
80M_1	80M_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	92793428.0	14 Gbp	0.0	151.0	18.0	82.95806186235511	151.0	pass	pass	fail	pass	warn	warn	pass	pass	pass	pass	warn
80M_2	80M_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	92793428.0	14 Gbp	0.0	151.0	20.0	92.23078949363432	151.0	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	warn
81M_1	81M_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	91400337.0	13.8 Gbp	0.0	151.0	18.0	82.32848500037349	151.0	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	pass
81M_2	81M_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	91400337.0	13.8 Gbp	0.0	151.0	20.0	92.14529998524164	151.0	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	pass
92M_1	92M_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	93182201.0	14 Gbp	0.0	151.0	17.0	83.51318225191878	151.0	pass	pass	fail	pass	warn	warn	pass	pass	pass	pass	warn
92M_2	92M_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	93182201.0	14 Gbp	0.0	151.0	20.0	92.34188494823961	151.0	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	warn
93M_1	93M_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	92132115.0	13.9 Gbp	0.0	151.0	18.0	82.44661427534491	151.0	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	warn
93M_2	93M_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	92132115.0	13.9 Gbp	0.0	151.0	20.0	91.6559721411694	151.0	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	warn
94M_1	94M_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	95548745.0	14.4 Gbp	0.0	151.0	18.0	80.64926067936233	151.0	pass	pass	fail	pass	warn	warn	pass	pass	pass	pass	warn
94M_2	94M_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	95548745.0	14.4 Gbp	0.0	151.0	20.0	91.55016703674774	151.0	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	warn
95M_1	95M_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	86152958.0	13 Gbp	0.0	151.0	18.0	83.75364737928203	151.0	pass	pass	fail	pass	warn	warn	pass	pass	pass	pass	warn
95M_2	95M_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	86152958.0	13 Gbp	0.0	151.0	20.0	92.40399926114597	151.0	pass	pass	fail	pass	fail	warn	pass	pass	pass	pass	warn
